sentence,acceptable
"Ксюша вышла за зубного врача, смеясь, что зубы болеть не будут.",1
Войска коалиции были разбиты Наполеоном.,1
"Я видел по телевизору ""Галатею"".",1
"Я уверен, что он, к сожалению, опоздает.",0
"Он был квартирмейстером и казначеем в Костромском пехотном полку, дослужился до штабс-капитана и вышел капитаном в отставку с шестьюстами рублями ассигнациями пенсии.",1
В этот момент я представляла себе тебя на моем месте.,1
Собрания не отменено.,0
Я шел вдоль реки по узенькой тропинке.,1
В комнате есть девочки.,1
"Почему ты, Ваня, не был в школе?",1
У него был какой-то испуганный ви.,1
Правительство совершенно не собирается идти на какие бы то ни было уступки и просто тянет время.,1
Его жена руководит аспирантом.,1
Механическая обработка не полностью отвердевшей формованной конструкции бывает затруднительной вследствие повышенной вязкости этой конструкции.,1
Ожидаемой помощи не приходило.,1
"Не удивительно, что он согласился.",1
"А на работу она почему-то не очень хочет, чтобы ей звонили.",1
И именно в это самое время в нем возникло какое-то чувство беспокойства.,1
Коллеги собирались арендовать клуб для проведения собрания.,1
"Вероятно, что тебе об этом сказали.",0
Вместо ответа рыжий снял котелок и взял его на отлет.,1
"Он пробежал эту дистанцию за 10 секунд и, таким образом, взял преимущество над своими соперниками.",0
"Пиши стихи, а не прозу.",1
"Возле нее сидел молодой человек, по виду баскетболист, на полторы головы выше довольно высокой Наташи.",1
"Заболевание, вызываемое головнёй, долгое время было загадочной для учёных, которые считали их то нарушением обмена веществ у растений, то поражением насекомыми, то происками инфузорий.",0
Он осознал свою вину.,1
"Вася что получит, то и пропьёт, а я крутись-вертись на свою зарплату.",1
Гессен не был виновен в каких-либо преступлениях.,1
"Он думает, что знает, что я нахожусь на Кипре.",0
"Должно быть, он вбил себе в голову, что сейчас приходится родственником командиру «Джейн»!",0
Я жду тебя с двух до трех.,1
За прилавком стоял продавец.,1
"Я спешил, потому что я был на вокзал.",0
На горизонте белеют паруса.,1
"Важно спросить себя ни вокруг чего устроена ваша жизнь, а вокруг кого.",0
"Я поднял глаза и увидел то, что высоко в небе неслись над станицей птицы.",0
Пришел бы Миша поскорее.,1
Ему дали кличку «попугай».,1
Иван не понимает мое желание загорать голой.,1
"Автор пытается донести до читателя, то что нужно быть честным, справедливым, порядочным человеком.",0
Завтра я буду ему звонить.,1
"Каждый человек видит жизненный идеал по-своему, согласно своего характера и моральных устоев.",0
Ваня нашел на дороге кошелек.,1
Солдаты получили от командира приказ выдвигаться на позицию.,1
"Бор рассказывал, что эта гипотеза была предложена Дираком в 1930 г.",1
Он пригласил нас проследовать в зал переговоров.,1
"Я не думал ― думать мне не хотелось ― но с удовольствием разглядывал Алика, Толика, Петьку, Демьяна, будто видел их всех впервые.",1
Я встречался с приятелями.,1
Он начал речь приветствием.,1
Вы один показался мне веселым.,0
"Вошел врач, и лицо больного приняло опять спокойное выражение.",1
Блестяще проведенным экспериментом он доказал свою гипотезу.,1
Чайник покипел и перестал.,1
"Он почувствовал, что нет мороза.",1
"В народном творчестве о Байкале не только звучит огромная любовь, но и ещё нечто большее.",0
Он сидел за своим письменным столом и работал.,1
Вблизи дороги стоял трактор.,1
Новые слова в тексте не встретились.,1
После новогодних поздравлений началась раздача подарков.,1
"Я получил его донесение, но еще не прочел.",1
У него был какой-то необъяснимый страх перед этим человеком.,1
"Несколько фрамуг в спортзале, оставленные открытыми, то открывалось, то с шумом захлопывалось.",0
Иванова не будет в Москве долго.,1
"Ну что ты упрямишься, злословишь!",1
Старик ловил неводом рыбу.,1
Выстрелил из из него.,1
Эта музыка только мерещилась тебе.,1
"Он получил большое облегчение, узнав, что она простила ему.",1
"Он не знал, что там есть столовая.",1
К его удивлению Анна приняла это известие очень спокойно.,1
Он обещал резко не тормозить.,1
Я не слышал этой сонаты.,1
Иван оставил нам телефон позвонить в случае необходимости.,1
"Я думаю, что он прав.",1
Я воспринял его как героя.,1
"Я выслушал ваши возражения, но, к сожалению, я не могу с ними согласиться.",1
"Крайнюю ступень в ряду фразеологических сочетаний занимают обороты, включающие слова с единичным употреблением.",1
Немного поодаль лежал еще один раненый.,1
Она смотрела вдаль усталыми глазами.,1
Мало кто из животных готовы сражаться со стаями кусающих и жалящих насекомых.,0
Я не знаю эту женщину.,1
Около носа была большая бородавка.,1
Я решил не все ваши задачи.,1
Когда же выпал этот снег?,1
"Я в поте лица зарабатываю скромное жалование и скапливаю по крохам, чтобы купить себе в конце недели килограмм сосисок.",1
В Белоруссии либеральных газет не осталось.,1
Банк в свое время рискнул значительной частью уставного капитала.,1
Ветки деревьев слабо звенели.,1
"Условия для сдачи дома в эксплуатацию были налицо, однако тем не менее сроки приёмки откладывались.",0
Он так и не узнал конец этой истории.,1
Он не хочет ничего предпринимать.,1
Вы посмотрите мои картины?,1
В конце XIX в. группа педагогов начали работу по подготовке реформы школьного математического образования.,0
"Замечу, кстати, что это не первый случай.",1
"Наполеон, который понял опасность, грозящую его правому флангу, сам повел свою гвардию на врага.",1
Напрасно ты на ней не женился.,1
Она неправильно принимает искусство.,0
"Быть прописанным при сестре опять-таки полезно на случай того же обыска – кажется, мысль о возможности нового обыска сделалась навязчивой идеей.",1
"Евгения в плане житейских и бытовых вещей, действительно, повзрослела и многое приобрела из того, что должно помочь ей в будущем.",1
"Мы зашли к Ивану, но его не было дома.",1
"Матросы вынуждены были спускаться за борт под обстрелом, рискуя сорваться в воду.",1
Так саркастически может писать только этот журналист.,1
Я подключился компьютером к Интернету.,0
У кассы — большая очередь.,1
"Толстой-публицист не только приобрел огромную известность в России, но и во всем мире.",0
После выхода из больницы он был лишен всяких средств к существованию.,0
"Все, кто бывал в небольших городах Италии, видел каменные мосты, заросшие плющом, обветшалые старинные мраморные фасады зданий, мерцание позолоченных куполов.",0
"Отряд партизан был переодет в немецкое обмундирование, получил немецкое оружие.",1
Ничего этого я не знал.,1
"Если ты будешь решать любую из этих задач, то пользуйся аналитическими уравнениями.",0
"Даже если погибну, то не зря.",1
Он ищет новую секретаршу.,1
Он должен успеть на поезд.,1
Около крайней избы поселка стояла баба в короткой исподнице.,1
Отца никогда не было на море.,0
"Он, конечно, опять занят.",1
"Если он может решить все задачи,у него выдающиеся математические способности.",1
"Не видно, чтобы он куда-либо ходил.",1
"Около горящей избы стало жарко и так светло, что видна была каж дая травинка.",1
Он отличался большими способностями среди своих сверстников.,1
Ваня завтра не придет в школу.,1
"Он задел часы щеткой, когда подметал пол.",1
Способность этого человека к какой бы то ни было деятельности не вызывает сомнений.,0
У меня было чувство глубокого удовлетворения.,1
В работе имеются ссылки на Якобсона.,1
Мать оставила ребенку хлеба покормить голубей.,1
Подобные поручения очень обременяют.,1
"Этот порыв откровенности, вместе с другими мелкими событиями, имел для него и всей семьи его огромные последствия.",1
"Сколько денег ты не знаешь, как заработать?",0
Ты когда-нибудь ехал в Коломенское?,0
Она принимает теорию гранулярного пламени.,1
Я обнаружил его лежащего одного на кровати.,1
Этот смешно был очень тяжелым.,0
Я не застал Машу у себя.,1
"Думаю, что мосты еще не сняли.",1
"Я, как только увидел пропажу, выпил и схватился за голову.",0
Газета «Московский комсомолец» опубликовал статью известного кинокритика.,0
Будет искать новых сторонников.,1
Он где-то достал 30 фунтов меда.,1
"Иногда ты играешь с ней в одной сцене и не понимаешь, что она делает, пока не посмотришь отснятый материал.",1
В прошлый раз я выразил ему свое неудовольствие.,1
Поблизости от лесопилки построили деревоперерабатывающий завод.,1
Когда же выпадал этот снег?,0
Модель театра с фирменным фестивалем хороша и для города и театра.,0
Казна истощилась от войн.,1
"Этот игрок был куплен «Реалом», чтобы избавиться от нынешнего вратаря.",1
Ты когда-нибудь возвращался этой дорогой?,1
"Повторяю, я продолжал работать в неутвержденном качестве заведующего отделом еще четыре года, пока не написал статью.",1
"Иван ведь тогда говорил, что она сейчас без работы.",1
Ее лицо выражало тревогу.,1
Поколение наших отцов и дедов с недоверием воспринимали реформы.,0
Неужели он сказал это вслух?,1
"Учительница эта обратилась к Нехлюдову с просьбой дать денег для того, чтобы поступить на курсы.",1
"Приютив бездомного котёнка, нам следовало позаботиться о его прививках.",0
"Она была женщиной экономной и управляла поместьем, как небогатый правитель своим маленьким царством: мудро, расчётливо, кропотливо, при этом деспотически и на феодальных началах.",1
Мои знакомые хотели прийти всем.,0
Я дал ему обещание.,1
"Швейцар смерил сердитого чиновника полным сомнения взглядом, но все же исчез за дверью.",1
В два часа меня уже не будет в институте.,1
"Иван сказал: ""Я заболел"".",1
"У него были сухие, а раз так, сообразит разве, что у кого-то могут быть мокрые?",0
Записку и веточку она положила рядом с ним.,1
У меня дома есть эта книга.,1
"Я вспомнил, что эта та самая гостиная, в которой не помню, о чем мы беседовали.",0
"Мне давали квартиру поблизости от химического завода, но я отказался.",0
"Я открыл окно, чтобы комната проветрилась.",1
У меня есть серые глаза.,0
Какой он там ученый!,1
"Если он отказался, то уже пожалел об этом.",1
Новый ключ открыл дверь без труда.,1
"Я давно уже живу не сердцем, а головою.",1
"Тогда почти никто не слышал эту группу, но знатоки говорили, что круто.",1
"Многие театралы считают, что главное в спектакле — это режиссёрский замысел, который усилиями всех участников процесса создаёт новую сценическую реальность.",1
"Я не отвечал, но так же прямо смотрел в глаза его превосходительства.",1
"А ведь вам кто-то тогда помог, рискуя головой.",1
"Если в тело человека проник всякий микроб, организм выставляет на защиту всю свою систему иммунитета.",0
У меня есть один прекрасный учитель математики.,1
Петя не нашел Вани в школе.,1
"Они уйдут, а вместо них появится кто-то новый.",1
Назначили ему пенсию в 5 тысяч.,1
"Должна быть у вас моя карточка, я записывался.",1
"Иван сказал, что он заболел.",1
Она приняла его точку зрения.,1
В результате этого он получил воспаление легких.,1
"Я хочу любви, которая захватила бы меня всего, и эту любовь только вы, Таня, можете мне дать!",1
"Три часа длился бой, затем гнали противника из деревни и по болоту.",0
Ваше отсутствие не тормозило работы.,1
"Потом служил в армии, потом заболел, открылась гангрена.",1
"Окончив сбор лекарственных трав, не забудьте тщательно отряхнуть одежду и вымыть руки с мылом.",1
"Нельзя писать, когда тебе не пишется.",1
"Если Иван заболел, он пойдет к врачу.",1
"Платонов в повести «Котлован» не только ведёт спор с философией Нового времени на уровне содержания, но и на уровне формы.",0
"Отвечая ей небрежно, ты рискуешь потерять ее доверие.",1
Камень заваливал вход в пещеру.,1
Приказ был отдан отступать солдатам командиром.,0
Канава отделила нашу ферму от соседней.,1
"Виной тому, мягко говоря, нестабильная политическая ситуация — в той же Колумбии много лет идет гражданская война, а часть территории страны вообще не контролируется федеральным правительством.",1
Это предприятие возглавляет Иванов.,1
Подписи на документе поставили менеджер и покупатель.,1
"Если ты заручишься поддержкой кого-нибудь из них, то успех тебе обеспечен.",1
Фишер уронил себя отказом от игры.,1
Кто избранница Жана Маре и существует ли она вообще — неизвестно.,1
"Это была лекция из чего-нибудь вроде мотивационной книги, основная мысль которой поверить себя и идти к цели.",0
Я объяснил истоки этих ошибок.,1
Маша сидела поодаль от мужа и читала.,0
Вождь хочет поговорить с кем-нибудь из вас.,1
"Вода поступает по капле, так что ведро наполнится не скоро.",1
Так быстро он не справится.,1
У нее интересные книги.,1
Множество людей пришли за кулисы.,1
Вдали дважды белел парусник.,0
"Он давно пришел, а потом ушел.",0
"Хочу, чтобы, если вы захотите, то вам все показали.",0
"Если бы этот тяжелый железный лист упал на три-четыре метра ближе, он кого-нибудь убил бы.",1
Он еще не прочитал эту статью.,1
У Паши за последнее время появилась некоторая самоуверенность.,1
"Свет — главный регулятор биологических ритмов, и уровень мелатонина напрямую зависит от того, что темно ли вокруг нас или светло.",0
"Он предсказал, кто будет президентом.",1
"Ходят слухи, будто всё позапрещают.",1
Он назначил отъезд на 20 августа.,1
Тут мы не вправе вступать ни в какую полемику.,1
При этом из молока получается простокваша.,1
Я не читаю газет.,1
Почему ж в синтаксическом отношении не хотят видеть ничего сходного между формою именительного падежа и формами косвенных падежей?,1
"Увидев красный сигнал светофора, машина была остановлена водителем.",0
Нужно будет поставить летние рамы с сеткой; и дверь занавесить тюлью что ли.,0
Это влияет на любые инициативы сдвига в какую-либо сторону.,1
У нас нет ничего.,1
"Если бы то был волчонок, было бы ясно, что он сейчас завоет.",1
Сколько фильмов ему мало понравилось?,1
Одесса была крупнейшим центром еврейской черты оседлости.,1
Гостиницы не было построено.,1
Ни одной подлодки не всплыло.,1
"У нее только и радости, что в детях.",1
В комнату вошла молодая женщина.,1
Я получила огромное удовольствие от этого спектакля.,1
"Максим Горький писал, что: «Надо говорить по-русски, а не по-вятски и не по-балахонски».",0
"В этот момент он думает, что мы уехали.",0
"Степан чувствовал то, как всё тело не слушается его и от усталости слипаются глаза.",0
Этого портрета здесь раньше не висело.,1
"На собрании группы обсуждались вопросы посещаемости и то, что нет ли возможности досрочно сдать зачёты.",0
Он остался очень доволен своей неудачной остротой.,1
На этот раз он не раздражал меня своими глупыми шутками.,1
Она сидела близко от меня и плакала.,0
"Первый огонек блеснул вдали на противоположной горе, в отдаленном домике близ шлагбаума.",1
"Я запросил 10 рублей, и он мне дал.",1
Я часто вспоминаю Лёшины печальные карие глаза.,1
Жилищные условия формируют здоровье представителей нескольких поколений семьи.,1
"Кот лежит, накрыв нос кончиком хвоста.",1
Решить задачу удалось не всем.,1
"Брат позвонил, когда добравшись до дома.",0
Я брал твой ключ.,1
В этот момент он ее уже ненавидел.,1
"Удача ждала золотоискателей, пришедших первыми.",1
"Стекло разбил Коля ли, Петя ли.",0
"Стараясь убедить читателей, многое зависит от того, какие примеры вы приводите.",0
Весь он как будто воздушный и стоит более шестисот лет.,1
Он дал ему одобрение.,0
"Когда до них оставалось не более пятиста метров, командир подал знак штурману.",0
В греческом алфавите буква g следует непосредственно за b.,1
Я выбрал тему диплома.,1
Причиной пожара было повреждение изоляции.,1
"Пес уже лежал рядом с корзинкой угля и смотрел, как работает Дарья Петровна.",1
"И сейчас метеорологи в своих предсказаниях погоды опираются на некоторые народные приметы, дающих довольно точный прогноз.",0
Она усвоила его методы работы.,1
Именно этим объясняется неприемлемость предложений вроде.,1
У Маши есть брат.,1
Новый медицинский препарат стимулирует мозговое кровообращение.,1
"Надо, чтобы жена принесла свое, а муж — свое.",1
"Он отрастил небольшую бородку, а страдальческое выражение не сходило с его лица даже в минуты довольства.",1
Как бы он не надел второпях мою шляпу.,1
"Человек, вошедший в подъезд и который стал подниматься на самый верхний этаж, привлёк моё внимание.",0
Дипломатические отношения между Россией и США были установлены в 1807 году.,1
Я получил приказ отступать.,1
У тебя есть любимый артист?,1
"Портмоне нашёлся, но вот денег и карт в нём не оказалось.",0
"Когда мы вышли из леса, было сыро, но дождя уже не было.",1
"Впоследствии, когда, откровенно говоря, было уже поздно, разные учреждения представили свои сводки с описанием того человека.",1
Почему бы твоим друзьям обоим не прийти.,1
Душа писателя выразила долю своей сокровенной жизни.,1
Завтра я прихожу к своему приятелю.,0
Я принял его в группу Матвеева.,0
Он совершенно спокойно принял возражения своего оппонента.,1
Я разговаривал с директором на прошлой неделе.,1
Тут он встает и идет к двери.,1
Он берет это слово в кавычки.,1
Я не просил его никого слушать.,0
Возьми мне из ее чемодана полотенце.,0
"Она выдержит, она, женщина, многое выдержит.",1
Я удачно выбрал наблюдательным пунктом чердак.,1
Близ памятника под землей прорвало водопровод.,0
"Не скрою, он мне понравился.",1
"Мне послышалось, что кто-то плачет.",1
"Может и ему ни к чему были ее воскресные, скажем, завтраки.",0
"Ребенок проснулся потому, что вы разговаривали громко.",1
Представился случай обнять отбывающих в столицу и празднующих таковое событие коллег.,1
Он снял брюки и лег.,1
